STATION,LOCATION
34 ST-PENN STA,POINT (-73.99339099970578 40.752287000775894)
GRD CNTRL-42 ST,POINT (-73.97604100111508 40.751431000286864)
TIMES SQ-42 ST,POINT (-73.98622899953202 40.755983000570076)
14 ST-UNION SQ,POINT (-73.98995099881881 40.734673000996125)
34 ST-HERALD SQ,POINT (-73.99105699913983 40.75037300003949)
"23 ST	",POINT (-73.99276500471389 40.742954317826005)
47-50 STS ROCK,POINT (-73.98133100227702 40.75864100159815)
"125 ST	",POINT (-73.95224799734774 40.811071672994565)
42 ST-PORT AUTH,POINT (-73.98973500085859 40.757307998551504)
FULTON ST,POINT (-74.00657099970202 40.70941599925865)
59 ST COLUMBUS,POINT (-73.98192900232715 40.76824700063689)
CANAL ST,POINT (-73.99982638545937 40.71817387697391)
FLUSHING-MAIN,POINT (-73.83003000262508 40.75959999915012)
"14 ST	",POINT (-73.99620899921355 40.73822799969515)
"PATH NEW WTC	",POINT (-74.00974461517701 40.71256392680817)
86 ST,POINT (-73.95558899985132 40.77949199820952)
59 ST,POINT (-74.01788099953987 40.6413616662838)
28 ST,POINT (-73.99336500134324 40.74721499918219)
42 ST-BRYANT PK,POINT (-73.98459099904711 40.754184001312545)
96 ST,POINT (-73.96460245687166 40.79161879767014)
LEXINGTON AV/53,POINT (-73.96737501711436 40.762708855394564)
7 AV,POINT (-73.98025117900944 40.66624469001985)
JKSN HT-ROOSVLT,POINT (-73.89129866519697 40.74653969115889)
CHAMBERS ST,POINT (-74.00926600170112 40.71547800011327)
BEDFORD AV,POINT (-73.95666499806525 40.71717399858899)
WALL ST,POINT (-74.01186199860112 40.70755700086603)
72 ST,POINT (-73.98197000159583 40.77845300068614)
145 ST,POINT (-73.94408792823116 40.824766360871905)
50 ST,POINT (-73.98598400026407 40.76245599925997)
"ATL AV-BARCLAY	",POINT (-73.97754993539385 40.68442016526762)
1 AV,POINT (-73.98168087489128 40.73097497580066)
"72 ST-2 AVE	",POINT (-73.98197000159583 40.77845300068614)
GRAND ST,POINT (-73.94049699874644 40.71157600064823)
B'WAY-LAFAYETTE,POINT (-73.99620399876055 40.725296998738045)
5 AV/53 ST,POINT (-73.9752485052734 40.76008683231326)
JAMAICA CENTER,POINT (-73.80109632298924 40.70206737621188)
103 ST,POINT (-73.96837899960818 40.799446000334825)
66 ST-LINCOLN,POINT (-73.98220899995783 40.77344000052039)
KINGS HWY,POINT (-73.95760873538083 40.608638645396006)
57 ST-7 AV,POINT (-73.98072973372128 40.76456552501829)
JAY ST-METROTEC,POINT (-73.98721815267317 40.692470636847084)
"77 ST	",POINT (-74.0255099996266 40.629741666886915)
SUTPHIN-ARCHER,POINT (-73.80800471963833 40.700382424235)
181 ST,POINT (-73.9335959996056 40.84950499974065)
DELANCEY/ESSEX,POINT (-73.98807806807719 40.71868074219453)
GROVE STREET,POINT (-74.04265200000000 40.71943300000000)
33 ST,POINT (-73.93099699953838 40.74458699983993)
116 ST,POINT (-73.9416169983714 40.7986290002001)
"THIRTY THIRD ST	",POINT (-73.93099699953838 40.74458699983993)
JUNCTION BLVD,POINT (-73.86952700103515 40.74914499948836)